id	Name	Amateur	Offices groups	Funding groups	Education groups	Education	Associations groups	Associations
7	Burlington, Richard Boyle, 3Rd Earl Of	1	Knight	Family / Self Wealth			British Learned Societies	Royal Society, Society of Antiquaries
14	Clerk, James	1		Family / Self Wealth				
15	Dingley, Robert	1		Family / Self Wealth			British Learned Societies	Society of Antiquaries, Dilettanti, Royal Society
2	Fountaine, Sir Andrew	1	Knight		Oxford, Cambridge and Inns of Court	Christ Church Oxford	Exception	Royal Society of Berlin
6	Herbert, Henry Herbert, Lord	1	Army	Family / Self Wealth	Oxford, Cambridge and Inns of Court	Christ Church Oxford	British Learned Societies	Royal Society
8	Mar, John Erskine, 6Th Earl Of	1	Army, MP	Family / Self Wealth	Other Universities and Colleges	Edinburgh University, Leiden University		
13	Morris, Roger	1	Public office/architectural	Family / Self Commercial				
12	Moyser, Col. James	1	Army	Family / Self Commercial				
35	Newborough, Thomas Wynn, 1St Baron	1	MP	Family / Self Wealth	Oxford, Cambridge and Inns of Court	Queens' College Cambridge	British Learned Societies	Society of Antiquaries
16	Newdigate, Sir Roger, 5Th Bt.	1	MP	Family / Self Wealth	Oxford, Cambridge and Inns of Court	University College Oxford		
24	Robinson, Hon. Thomas	1	MP	Family / Self Wealth	Oxford, Cambridge and Inns of Court	Christ College Cambridge	British Learned Societies	Dilettanti, Society of Antiquaries
10	Robinson, Thomas	1	MP		Oxford, Cambridge and Inns of Court, Other Universities and Colleges	Oxford, Middle Temple London		
36	Adam, James	0	Public office/architectural	Family / Self Commercial			Italian Societies	Accademia Clementina Bologna
31	Adam, Robert	0	Public office/architectural	Family / Self Commercial, Private Sponsorship 	Other Universities and Colleges	Edinburgh University	British Learned Societies, British Artists Societies, Italian Societies	Society of Antiquaries, Royal Society, Accademia Clementina Bologna, Accademia del Disegno Florence, Accademia di San Luca Rome, Society of Artists
38	Baxter, John	0		Private Sponsorship, Family / Self Commercial, Commissions / Cicerone 			Italian Societies	Accademia di San Luca Rome, Accademia di Belle Arti Parma
27	Brettingham, Matthew	0		Family / Self Commercial, Commissions / Cicerone, Private Sponsorship				
54	Brettingham, Robert William Furze	0	Public office/architectural	Commissions / Cicerone	Art School	Royal Academy Schools	British Artists Societies	Architects' Club
59	Bulfinch, Charles	0		Family / Self Wealth	Other Universities and Colleges	Harvard College		
61	Bunce, Samuel	0	Public office/architectural		Training with Individual			
34	Byres, James	0		Commissions / Cicerone			Italian Societies	Accademia di San Luca Rome
40	Cameron, Charles	0			Training with Individual		British Artists Societies	Free Society of Artists, Society of Artists
29	Chambers, William	0	Public office/architectural, Knight	Family / Self Commercial	Art School	École des Arts	British Learned Societies, Italian Societies, British Artists Societies, Exception	Royal Society, Royal Academy, Accademia del Disegno Florence, Swedish Academy of Sciences, French Academy of Architecture, Architects' Club, Society of Arts
62	Craig, John	0						
25	Dance, George The Younger	0	Public office/architectural	Family / Self Commercial, Commissions / Cicerone			British Artists Societies, British Learned Societies, Italian Societies	Royal Academy, Architects' Club, Royal Society, Accademia di San Luca Rome, Society of Antiquaries, Accademia di Belle Arti Parma
50	Ebdon, Christopher	0	Public office/architectural	Private Sponsorship, Commissions / Cicerone	Training with Individual		British Artists Societies, Italian Societies	Accademia del Disegno Florence, Society of Artists, Free Society of Artists
