Place ID	Place name	Coordinates	Vicinities	Geo-Historical Groups
110.0	Abruzzi	42.517162, 14.147202	Kingdom of Naples	Kingdom of Naples
1.0	Albano	41.733333, 12.666667	Rome	Papal States
2.0	Ancona	43.6158299,13.518915	Papal States	Papal States
3.0	Anzio	41.4495955,12.6197253	Papal States	Papal States
111.0	Arco Felice	40.845278, 14.071944	Naples	Kingdom of Naples
4.0	Arezzo	43.4632839,11.8796336	Grand Duchy of Toscana	Grand Duchy of Toscana
5.0	Ariano	41.15, 15.084167	Kingdom of Naples	Kingdom of Naples
6.0	Ariccia	41.7211083,12.6726413	Rome	Papal States
7.0	Arienzo	41.0218158,14.5000054	Kingdom of Naples	Kingdom of Naples
8.0	Asola	45.2201286,10.4130142	Duchy of Milan and Duchy of Mantua	Duchy of Milan and Duchy of Mantua
9.0	Avellino	40.914388,14.7906121	Kingdom of Naples	Kingdom of Naples
10.0	Avezzano	42.0281396,13.4255637	Kingdom of Naples	Kingdom of Naples
112.0	Baiae	40.816667, 14.069722	Naples	Kingdom of Naples
11.0	Bari	41.1171432,16.8718715	Kingdom of Naples	Kingdom of Naples
12.0	Barletta	41.3196635,16.2838207	Kingdom of Naples	Kingdom of Naples
13.0	Bassano	45.7657286,11.7272747	Republic of Venice	Republic of Venice
14.0	Benevento	41.1297613,14.7826208	Kingdom of Naples	Kingdom of Naples
15.0	Bergamo	45.6982642,9.6772698	Republic of Venice	Republic of Venice
16.0	Bisceglie	41.243056, 16.505278	Kingdom of Naples	Kingdom of Naples
17.0	Bologna	44.494887,11.3426163	Papal States	Papal States
18.0	Bracciano	42.1017979,12.1761422	Papal States	Papal States
19.0	Brescia	45.5415526,10.2118019	Republic of Venice	Republic of Venice
20.0	Brindisi	40.6327278,17.9417616	Kingdom of Naples	Kingdom of Naples
21.0	Calabria	39.3087714,16.3463791	Kingdom of Naples	Kingdom of Naples
22.0	Capistrello	41.9685623,13.393248	Kingdom of Naples	Kingdom of Naples
23.0	Caprarola	42.3272312,12.2387494	Kingdom of Naples	Kingdom of Naples
24.0	Capri	40.5532009,14.222154	Kingdom of Naples	Kingdom of Naples
25.0	Capua	41.1061258,14.2130486	Kingdom of Naples	Kingdom of Naples
113.0	Caserta	41.066667, 14.333333	Kingdom of Naples	Kingdom of Naples
26.0	Castelfranco	45.666667, 11.933333	Republic of Venice	Republic of Venice
27.0	Castelluccio	41.3, 15.483333	Kingdom of Naples	Kingdom of Naples
28.0	Celano	42.0822512,13.5429874	Kingdom of Naples	Kingdom of Naples
29.0	Cerignola	41.2656592,15.8939163	Kingdom of Naples	Kingdom of Naples
30.0	Civitavecchia	42.0924239,11.7954132	Papal States	Papal States
31.0	Como	45.8080597,9.0851765	Duchy of Milan and Duchy of Mantua	Duchy of Milan and Duchy of Mantua
114.0	Constantinople	41.01224, 28.976018	Beyond the Italian Peninsula	Beyond the Italian Peninsula
115.0	Cori	41.64447, 12.91267	Papal States	Papal States
32.0	Cortona	43.2750634,11.98512	Grand Duchy of Toscana	Grand Duchy of Toscana
33.0	Cremona	45.133249,10.0226511	Duchy of Milan and Duchy of Mantua	Duchy of Milan and Duchy of Mantua
116.0	Cuma	40.848611, 14.053611	Naples	Kingdom of Naples
34.0	Eboli	40.6179234,15.0564332	Kingdom of Naples	Kingdom of Naples
118.0	Egypt	26, 30	Beyond the Italian Peninsula	Beyond the Italian Peninsula
35.0	Faenza	44.2898527,11.8774091	Papal States	Papal States
36.0	Ferrara	44.8381237,11.619787	Papal States	Papal States
