EventID,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actors
1,180,2011,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
2,180,2011,Epic Roasthouse (399 Embarcadero),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
3,180,2011,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
4,180,2011,Polk & Larkin Streets,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
5,180,2011,Randall Musuem,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
6,180,2011,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
7,180,2011,200 block Market Street,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
8,180,2011,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ","Siddarth, Nithya Menon, Priya Anand"
9,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark
10,40 Days and 40 Nights,2002,Caffé Trieste,"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Caffé Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,"Josh Hartnett, Shaynnyn Sossamon"
11,40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,"Josh Hartnett, Shaynnyn Sossamon"
12,48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,"Nick Nolte, Eddie Murphy"
13,50 First Dates,2004,Rainforest Caf̩ (145 Jefferson Street),,Columbia Pictures,Columbia Pictures,Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider"
14,About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,"David Walton, Minnie Driver"
15,About a Boy,2014,Powell from Bush and Sutter,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,"David Walton, Minnie Driver"
16,About a Boy,2014,Broderick from Fulton to McAlister,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,"David Walton, Minnie Driver"
17,After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,"William Powell, Myrna Loy, James Stewart"
18,Age of Adaline,2015,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,"Blake Lively, Harrison Ford, Ellen Burstyn"
19,Age of Adaline,2015,Montgomery/Green,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,"Blake Lively, Harrison Ford, Ellen Burstyn"
20,Age of Adaline,2015,California @ Montgomery,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,"Blake Lively, Harrison Ford, Ellen Burstyn"
21,Age of Adaline,2015,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,"Blake Lively, Harrison Ford, Ellen Burstyn"
22,Age of Adaline,2015,Plate Shots SF streets various,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,"Blake Lively, Harrison Ford, Ellen Burstyn"
23,A Jitney Elopement,1915,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
24,A Jitney Elopement,1915,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
25,Alcatraz,2012,Broadway from Mason to Taylor,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
26,Alcatraz,2012,Filbert St. from Jones to Mason,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
27,Alcatraz,2012,Leavenworth from Filbert & Francisco St,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
28,Alcatraz,2012,Chestnut St. from Larkin to Columbus,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
29,Alcatraz,2012,Francisco St from Larkin to Polk,,Bonanza Productions Inc.,Warner Bros.,J.J. Abrams,Steven Lilien,"Sarah Jones, Elizabeth Sarnoff, Bryan Wynbrandt"
