_id_,_rev,accession_id,artist,created_at,credit_line,display_dimensions,geometry,Coordinates,location_description,medium,source,title,Location 1
63daabb62278559f8a0643be882613c5,2-2a0d31161230cdd59c47cbf4459ad806,1995.18,"Acconci, Vito; Saitowitz, Stanley; Staufacher, Barbara",01/01/1970 12:33:15 AM +0000,Commissioned by the San Francisco Art Commission for the Waterfront Project.,2 1/2 miles X 5 feet,"{""type"":""Point"",""coordinates"":[-122.4120591,37.8085303]}","-122.4120591, 37.8085303",Public Display : District 3 : Embarcadero/Waterfront,"Black concrete, with a strip of glass blocks, to be illuminated at night",San Francisco Arts Commission,Promenade Ribbon,
63daabb62278559f8a0643be88296a7b,2-0badec129e28508781c2c2c56b0fc357,1996.5,"Chamberlain, Ann; Hamilton, Ann",01/01/1970 12:33:16 AM +0000,Commission by the San Francisco Art Commission for the New Main Library,,"{""type"":""Point"",""coordinates"":[-122.415783,37.778864]}","-122.415783, 37.778864","Public Display : District 6 : SFPL, Main : 100 Larkin : 3rd, 4th and 5th Floors",Annotated library cards imbedded in artisan plaster forming walls,San Francisco Arts Commission,Untitled,
63daabb62278559f8a0643be882973ea,2-dff69c95625bac5aee94d97f9248371a,2008.3,"Chamberlain, Ann; Ho0d, Walter",2007-2008,Gift of the Abraham Lincoln Brigade Archives (ALBA) to the City and County of San Francisco,114 in. x 468 in. x 24 in.,"{""type"":""Point"",""coordinates"":[-122.3945938,37.7948985]}","-122.3945938, 37.7948985",Public Display : District 3 : Embarcadero : Justin Herman Plaza,,San Francisco Arts Commission,Abraham Lincoln Brigade National Monument,
63daabb62278559f8a0643be882974b3,2-174a17cf801a2edfef3cb6f8b0657880,T2009.16.d,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : South Residence : L6 : Northeast Wall,Cotton thread tapestry,San Francisco Arts Commission,Earth,
63daabb62278559f8a0643be88298292,2-9563b1fb62e1f29702091a7cb9e8b9fd,T2009.16.c,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : South Residence : L6 : East Wall,Mixed media,San Francisco Arts Commission,Untitled,
63daabb62278559f8a0643be88299247,2-bb3dfa4c6de168c0bedc497cb8be6cb2,T2009.16.a,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : South Residence : L6 : Northwest Wall,Mixed media,San Francisco Arts Commission,Water,
63daabb62278559f8a0643be88299b80,2-36b8a73a701e5c5e7f853b69d22404df,T2009.16.h,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : North Residence : L6 : East Wall,,San Francisco Arts Commission,Untitled,
63daabb62278559f8a0643be8829a96c,2-b17dfb63880faa1197f1131ad6176bbb,T2009.16.a-j,"Chamberlain, Ann; Lubell, Bernie",01/01/1970 12:33:28 AM +0000,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda Hospital : North and South Residences : L6,,San Francisco Arts Commission,"Earth, Air, Fire, Water",
63daabb62278559f8a0643be8829b071,2-37229a753dc837df5d47fd22e4653a17,T2009.16.e,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : South Residence : L6 : Southeast Wall,Cotton thread tapestry,San Francisco Arts Commission,Air,
63daabb62278559f8a0643be8829bc2a,2-c132597618c229bb1862b98ee155b8d0,T2009.16.g,"Chamberlain, Ann; Lubell, Bernie",2009-2010,,,"{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}","-122.4556651, 37.7478586",City Department : Laguna Honda : North Residence : L6 : Southwest Wall,,San Francisco Arts Commission,Fire,
